analysis_scenario,weights_specification,inference,cluster_class,settlement_count
primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,raw_permutation,Low-High outlier,4
primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,raw_permutation,Low-Low visited cluster,63
primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,raw_permutation,Not significant,2251
sensitivity_distance_band_excluding_ambiguous,distance_band_9050m_binary_row_standardized,raw_permutation,High-Low outlier,54
sensitivity_distance_band_excluding_ambiguous,distance_band_9050m_binary_row_standardized,raw_permutation,Low-High outlier,40
sensitivity_distance_band_excluding_ambiguous,distance_band_9050m_binary_row_standardized,raw_permutation,Low-Low visited cluster,78
sensitivity_distance_band_excluding_ambiguous,distance_band_9050m_binary_row_standardized,raw_permutation,Not significant,2146
sensitivity_knn8_ambiguous_as_missed,knn_k8_binary_row_standardized,raw_permutation,High-Low outlier,10
sensitivity_knn8_ambiguous_as_missed,knn_k8_binary_row_standardized,raw_permutation,Low-High outlier,86
sensitivity_knn8_ambiguous_as_missed,knn_k8_binary_row_standardized,raw_permutation,Low-Low visited cluster,53
sensitivity_knn8_ambiguous_as_missed,knn_k8_binary_row_standardized,raw_permutation,Not significant,2413
primary_knn8_excluding_ambiguous,knn_k8_binary_row_standardized,fdr_adjusted,Not significant,2318
sensitivity_distance_band_excluding_ambiguous,distance_band_9050m_binary_row_standardized,fdr_adjusted,Not significant,2318
sensitivity_knn8_ambiguous_as_missed,knn_k8_binary_row_standardized,fdr_adjusted,Not significant,2562
