settlement_id,settlement_name,ward_code,ward_name,lga_name,gps_visit_status,gps_confidence_status,etally_report_status,etally_row_count,reported_doses_all_linked,reported_doses_plausible_only,dose_quality_flag,reconciliation_class,discrepancy_flag,explanatory_notes,created_at
D00083,Nuwaja,W001,Ekngoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00184,Bibeko,W002,Ekduru,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00230,Entile-Yamma,W003,Satita,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00246,Rimafa-Kudu,W003,Satita,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00320,Gusawo,W003,Satita,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00347,Fabemi-Kofar,W004,Yesawo,Gwarin,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00363,Dolaja,W004,Yesawo,Gwarin,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00378,Agzadu,W005,Jijile,Gwarin,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00511,Jiyoni,W006,Okradu,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00555,Malusa,W007,Bayoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00578,Zabeta,W007,Bayoyi,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00752,Jitile,W008,Umyosa,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D00943,Kuriwo,W012,Darari,Gwarin,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01074,Waride-Tsakiya,W014, Bishama ,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01076,Matsiwo,W014,Bishama,Idi-Oro,ambiguous,ambiguous,no e-tally report,0,0.0,0.0,False,GPS ambiguous / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01108,Iryoko,W015,Baluru,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01175,Jizani,W015,Baluru,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01209,Sashale,W015,Baluru,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01332,Kubema,W018,Adwana,Gwarin,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01432,Jiradu,W020,Famade,Idi-Oro,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01536,Irraba,W021,Yezata,Gwarin,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01632,Numatu,W023,Suwade,Katsuma,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01686,Ibmayi,W025,Okriba,Ilela,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
D01757,Ibsaru,W027,Daberi,Katsuma,unvisited,review,no e-tally report,0,0.0,0.0,False,GPS unvisited / no e-tally report,False,,2026-07-31 19:30:19.408706+00:00
