ward_code,ward_name,lga_name,planned_settlements,gps_visited_settlements,gps_ambiguous_settlements,gps_unvisited_settlements,etally_reported_settlements,gps_coverage_pct,etally_coverage_pct,absolute_percentage_point_difference,discrepancy_severity,reported_doses_all_linked,reported_doses_plausible_only,created_at
W001,EKNGOYI,Idi-Oro,121,4,4,113,99,3.31,81.82,78.51,requires review,15132.0,13761.0,2026-07-31 19:30:19.473124+00:00
W002,EKDURU,Idi-Oro,101,1,2,98,85,0.99,84.16,83.17,requires review,10593.0,8747.0,2026-07-31 19:30:19.473124+00:00
W003,SATITA,Idi-Oro,111,8,4,99,81,7.21,72.97,65.77,requires review,11578.0,10885.0,2026-07-31 19:30:19.473124+00:00
W004,YESAWO,Gwarin,42,0,2,40,35,0.0,83.33,83.33,requires review,1561.0,1503.0,2026-07-31 19:30:19.473124+00:00
W005,JIJILE,Gwarin,40,0,0,40,32,0.0,80.0,80.0,requires review,1320.0,1166.0,2026-07-31 19:30:19.473124+00:00
W006,OKRADU,Idi-Oro,128,3,0,125,103,2.34,80.47,78.13,requires review,14057.0,12423.0,2026-07-31 19:30:19.473124+00:00
W007,BAYOYI,Idi-Oro,127,11,8,108,99,8.66,77.95,69.29,requires review,12618.0,10380.0,2026-07-31 19:30:19.473124+00:00
W008,UMYOSA,Idi-Oro,129,2,0,127,105,1.55,81.4,79.84,requires review,14485.0,11411.0,2026-07-31 19:30:19.473124+00:00
W009,WASHATU,Gwarin,38,4,10,24,32,10.53,84.21,73.68,requires review,1719.0,1494.0,2026-07-31 19:30:19.473124+00:00
W010,FAZAFA,Gwarin,46,5,11,30,42,10.87,91.3,80.43,requires review,2424.0,1433.0,2026-07-31 19:30:19.473124+00:00
W011,Enyoko-Kofar,Gwarin,54,2,6,46,50,3.7,92.59,88.89,requires review,1848.0,1765.0,2026-07-31 19:30:19.473124+00:00
W012,DARARI,Gwarin,28,6,5,17,25,21.43,89.29,67.86,requires review,1431.0,1370.0,2026-07-31 19:30:19.473124+00:00
W013,SASHAKO,Gwarin,45,5,5,35,28,11.11,62.22,51.11,requires review,1122.0,814.0,2026-07-31 19:30:19.473124+00:00
W014,BISHAMA,Idi-Oro,99,10,10,79,76,10.1,76.77,66.67,requires review,9089.0,7544.0,2026-07-31 19:30:19.473124+00:00
W015,BALURU,Idi-Oro,139,8,10,121,106,5.76,76.26,70.5,requires review,17959.0,14419.0,2026-07-31 19:30:19.473124+00:00
W016,Uzritu,Gwarin,47,5,9,33,39,10.64,82.98,72.34,requires review,1729.0,1621.0,2026-07-31 19:30:19.473124+00:00
W017,BAZASA,Katsuma,44,4,10,30,31,9.09,70.45,61.36,requires review,1665.0,1301.0,2026-07-31 19:30:19.473124+00:00
W018,ADWANA,Gwarin,50,4,10,36,46,8.0,92.0,84.0,requires review,1396.0,1289.0,2026-07-31 19:30:19.473124+00:00
W019,UMZABA-KOFAR,Ilela,53,2,5,46,49,3.77,92.45,88.68,requires review,1519.0,1423.0,2026-07-31 19:30:19.473124+00:00
W020,FAMADE,Idi-Oro,91,9,18,64,76,9.89,83.52,73.63,requires review,11448.0,7577.0,2026-07-31 19:30:19.473124+00:00
W021,YEZATA,Gwarin,42,2,13,27,32,4.76,76.19,71.43,requires review,1356.0,875.0,2026-07-31 19:30:19.473124+00:00
W022,SUDEFA,Katsuma,35,4,7,24,18,11.43,51.43,40.0,requires review,860.0,764.0,2026-07-31 19:30:19.473124+00:00
W023,SUWADE,Katsuma,47,2,7,38,31,4.26,65.96,61.7,requires review,1339.0,1116.0,2026-07-31 19:30:19.473124+00:00
W024,KURABA-KOFAR,Ilela,35,6,6,23,31,17.14,88.57,71.43,requires review,1435.0,1278.0,2026-07-31 19:30:19.473124+00:00
W025,Okriba,Ilela,37,3,13,21,0,8.11,0.0,8.11,requires review,0.0,0.0,2026-07-31 19:30:19.473124+00:00
W026,KUNGOMI,Katsuma,48,2,7,39,38,4.17,79.17,75.0,requires review,1439.0,1222.0,2026-07-31 19:30:19.473124+00:00
W027,DABERI,Katsuma,40,7,8,25,30,17.5,75.0,57.5,requires review,1156.0,1047.0,2026-07-31 19:30:19.473124+00:00
W028,Wangoja,Ilela,53,2,10,41,49,3.77,92.45,88.68,requires review,2260.0,1758.0,2026-07-31 19:30:19.473124+00:00
W029,Wangoni,Ilela,83,2,10,71,75,2.41,90.36,87.95,requires review,3438.0,3153.0,2026-07-31 19:30:19.473124+00:00
W030,YERIDE,Ilela,65,1,8,56,55,1.54,84.62,83.08,requires review,2693.0,2562.0,2026-07-31 19:30:19.473124+00:00
W031,Satide,Katsuma,61,4,9,48,27,6.56,44.26,37.7,requires review,1331.0,1012.0,2026-07-31 19:30:19.473124+00:00
W032,BISANI-GABAS,Ilela,51,5,10,36,49,9.8,96.08,86.27,requires review,1981.0,1758.0,2026-07-31 19:30:19.473124+00:00
W033,TASAYI,Katsuma,64,1,0,63,51,1.56,79.69,78.13,requires review,2714.0,2149.0,2026-07-31 19:30:19.473124+00:00
W034,Dodeta,Katsuma,54,0,1,53,46,0.0,85.19,85.19,requires review,1537.0,1297.0,2026-07-31 19:30:19.473124+00:00
W035,DAZATA,Ilela,63,0,0,63,51,0.0,80.95,80.95,requires review,2462.0,1745.0,2026-07-31 19:30:19.473124+00:00
W036,Mawako,Ilela,35,0,2,33,32,0.0,91.43,91.43,requires review,1289.0,1111.0,2026-07-31 19:30:19.473124+00:00
W037,LONGOMA,Katsuma,50,0,2,48,32,0.0,64.0,64.0,requires review,1547.0,1528.0,2026-07-31 19:30:19.473124+00:00
