name,label,settlement_type,ward_code,ward_name,lga_code,lga_name,state_code,state_name,longitude,latitude,target_population_under5
S01324,Adwade,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.626486,10.635147,16.0
S01361,Agludu,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.563093,10.640153,36.0
S01338,Bangofa-Kudu,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.576082,10.672121,60.0
S01354,Bidefa,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.577403,10.636471,29.0
S01326,Biduru,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.582938,10.63088,31.0
S01364,Bitija,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.597233,10.633195,24.0
S01363,Bitina,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.602694,10.619233,127.0
S01340,Biwadu-Gabas,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.550425,10.651426,92.0
S01330,Daduna,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.629789,10.641825,28.0
S01367,Doluko,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.6062,10.61249,43.0
S01329,Enluri,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.609117,10.614121,10.0
S01347,Ennadu,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.577133,10.648855,65.0
S01350,Enwatu,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.637722200850346,10.711325,20.0
S01343,Enyoko,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.604417,10.628684,82.0
S01325,Fadeba,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.561081,10.636897,16.0
S01327,Faluna,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.542991,10.711187,189.0
S01341,Gungode,Settlement,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.575116,10.663338,14.0
S01353,Gungofa,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.570752,10.662875,119.0
S01348,Ibbeja,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.606423,10.645061,33.0
S01344,Ibnani-Kudu,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.566799,10.640382,18.0
S01362,Irkowo,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.625597,10.627547,54.0
S01349,Irnata-Yamma,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.640253,10.621201,15.0
S01337,Iryoru,Village,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.628542,10.6127,65.0
S01358,Jidusa,Hamlet,W018,Adwana,LGA02,Gwarin,BAN,Bansara,7.549817,10.646969,18.0
