team_code,label_prefix,range_start,range_end,check_digit_scheme
TM01,BSN,480000,480899,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM02,BSN,480900,481799,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM03,BSN,481800,482699,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM04,BSN,482700,483599,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM05,BSN,483600,484499,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM06,BSN,484500,485399,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM07,BSN,485400,486299,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM08,BSN,486300,487199,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM09,BSN,487200,488099,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM10,BSN,488100,488999,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM11,BSN,489000,489899,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM12,BSN,489900,490799,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM13,BSN,490800,491699,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM14,BSN,491700,492599,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM15,BSN,492600,493499,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM16,BSN,493500,494399,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM17,BSN,494400,495299,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM18,BSN,495300,496199,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM19,BSN,496200,497099,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM20,BSN,497100,497999,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM21,BSN,498000,498899,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM22,BSN,498900,499799,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM23,BSN,499800,500699,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
TM24,BSN,500700,501599,"Modulus 11, weights 2 to 7 applied right to left, remainder 10 recorded as X"
