name,label,lga_code,lga_name
W018,Adwana,LGA02,Gwarin
W012,Darari,LGA02,Gwarin
W011,Enyoko-Kofar,LGA02,Gwarin
W010,Fazafa,LGA02,Gwarin
W005,Jijile,LGA02,Gwarin
W013,Sashako,LGA02,Gwarin
W016,Uzritu,LGA02,Gwarin
W009,Washatu,LGA02,Gwarin
W004,Yesawo,LGA02,Gwarin
W021,Yezata,LGA02,Gwarin
W015,Baluru,LGA01,Idi-Oro
W007,Bayoyi,LGA01,Idi-Oro
W014,Bishama,LGA01,Idi-Oro
W002,Ekduru,LGA01,Idi-Oro
W001,Ekngoyi,LGA01,Idi-Oro
W020,Famade,LGA01,Idi-Oro
W006,Okradu,LGA01,Idi-Oro
W003,Satita,LGA01,Idi-Oro
W008,Umyosa,LGA01,Idi-Oro
W032,Bisani-Gabas,LGA04,Ilela
W035,Dazata,LGA04,Ilela
W040,Gujiri,LGA04,Ilela
W024,Kuraba-Kofar,LGA04,Ilela
W036,Mawako,LGA04,Ilela
W039,Nungoni-Arewa,LGA04,Ilela
W025,Okriba,LGA04,Ilela
W019,Umzaba-Kofar,LGA04,Ilela
W028,Wangoja,LGA04,Ilela
W029,Wangoni,LGA04,Ilela
W030,Yeride,LGA04,Ilela
W017,Bazasa,LGA03,Katsuma
W027,Daberi,LGA03,Katsuma
W034,Dodeta,LGA03,Katsuma
W026,Kungomi,LGA03,Katsuma
W037,Longoma,LGA03,Katsuma
W038,Sashasa,LGA03,Katsuma
W031,Satide,LGA03,Katsuma
W022,Sudefa,LGA03,Katsuma
W023,Suwade,LGA03,Katsuma
W033,Tasayi,LGA03,Katsuma
